index,MT_labels,clean_tweet,final_label,raw_tweet
959,"[1, 1, 1]",bottle blunt,1,By myself with a bottle and a blunt
960,"[1, 1, 1]",marvswife lose cheap weed,1,@marvswife and I lose my cheap weed!!!!
961,"[0, 1, 1]",killaz on heroin other half on zans bmrvldeckbmgdte,1,Some Of My Killaz On Heroin The Other Half On Zans. @bmrvldeckbmgdte
962,"[1, 1, 1]",got dope porn,1,You got dope and porn?
963,"[1, 1, 1]",come thru smoke blunt URL,1,come thru and smoke a blunt https://t.co/1S1SLiY4HX
964,"[1, 1, 1]",come smoke dro,1,come smoke this dro with me
965,"[0, 1, 1]",neighbors think taking dope,1,The neighbors think I taking dope
966,"[0, 1, 1]",victoriaclaunch definitely dope af,1,@victoriaclaunch definitely dope af
967,"[0, 0, 0]",bought chromebook pretty dope,0,I bought a chromebook and it's pretty dope
968,"[0, 1, 0]",currently in speakeasy pretty dope,0,Currently in a speakeasy. So that's pretty dope
969,"[1, 0, 0]",kujo30 looks dope on list,0,@kujo30 that looks dope!! it's been on my list.
970,"[0, 1, 1]",nawfsidesfinest smoking dope demons,1,@NAWFSIDESFINEST smoking dope with the demons
971,"[1, 1, 1]",defiantly need blunt rn,1,I defiantly need a blunt rn
972,"[1, 0, 1]",tonight dope fucking adventure,1,Tonight was a dope fucking adventure
973,"[0, 0, 0]",dope great point,0,dope great point
974,"[1, 1, 0]",sitting in back class perfect rolling dope,1,Sitting in the back of class is perfect for rolling dope
975,"[0, 0, 0]",hope get smacked,0,I HOPE WE DONT GET SMACKED
976,"[0, 0, 0]",brice butler looks dope bro,0,@Brice_Butler looks dope bro
977,"[1, 1, 1]",yup most defiantly roll blunt,1,Yup most defiantly about to roll me a blunt
978,"[0, 1, 0]",done made go get on URL,0,Done made me go get on it https://t.co/U2kV2JuEcr
979,"[1, 0, 1]",giselaa says sippin dope lol,1,@__Giselaa  its says I'm sippin dope lol
980,"[0, 0, 0]",amped weekend,0,So amped for this weekend
981,"[0, 0, 0]",getting acid reflux probably dying,0,i'm getting acid reflux. i'm probably dying
982,"[0, 1, 0]",got amped tomorrow URL,0,This got me amped for tomorrow https://t.co/3WYzSfRsx2
983,"[0, 1, 1]",too hungover roll over smoke bowl,1,too hungover to roll over and smoke a bowl
984,"[0, 0, 0]",tomorrow will dope,0,Tomorrow will be so dope !!!
985,"[1, 1, 1]",dope life dope dope shit,1,"I'm dope, my life is dope, and I do dope shit"
986,"[1, 0, 1]",after work blunt in air,1,After work blunt in the air
987,"[0, 0, 0]",irasel dope appreciate love,0,@iiiRasel that's dope!!!! I appreciate the love
988,"[0, 1, 0]",linda ralosky hope u die acid rain love u homie,0,@linda_ralosky Hope u die by acid rain Love u homie
989,"[0, 0, 0]",nothing like driving in rain bump grind r b music remind going home pizza via313pizza,0,"Nothing like driving in the rain to some bump and grind R""B music to remind me I'm going home to.....pizza. @Via313Pizza"
990,"[0, 0, 0]",dream met chrisrock pretty dope dream,0,Had a dream that I met @chrisrock  It was a pretty dope dream
991,"[1, 1, 1]",time takes time blunt URL,1,Time it takes time and a blunt https://t.co/aFqQeJm6ki
992,"[0, 1, 1]",need blunt vent,1,I need a blunt to vent to.
993,"[0, 1, 0]",moyo 45 looks dope af,0,@MoYo_45 looks dope af
994,"[1, 1, 1]",just need time weed good,1,"I just need some time "" some weed "" I'm good"
995,"[1, 1, 1]",thinking just makes need blunt cany,1,Thinking about this just makes me need a blunt I cannnnnnY
996,"[0, 0, 0]",not gonna lie looks pretty dope URL,0,Not gonna lie this looks pretty dope https://t.co/DOkBe8lJE7
997,"[0, 1, 0]",crispyhannah dope highly recommend,0,@CrispyHannah it's dope! Highly recommend it.
998,"[0, 0, 0]",split really dope movie,0,Split really is about to be a dope movie
999,"[1, 0, 0]",done paying weed,0,I'm done paying for weed
1000,"[0, 0, 0]",dope though,0,It was dope though
1001,"[1, 1, 0]",can successful still smoke weed,1,You can be successful and still smoke weed
1002,"[1, 0, 0]",hockey dope ngl,0,Hockey is so dope ngl
1003,"[1, 1, 1]",storm all day really just trying smoke blunt,1,it's about to storm all day but I'm really just trying to smoke a blunt
1004,"[1, 0, 1]",NUMBER pack dome on empty stomach followed blunt nightcap let see can get done little,1,18 pack to the dome on an empty stomach followed by a blunt as a nightcap let's see what we can get done with so little
1005,"[1, 1, 1]",alec bonin smoked weed last night,1,@alec_bonin smoked weed last night
1006,"[0, 0, 1]",not class on tuesdays thursday friday dope,0,"Not having class on Tuesdays, Thursday's, and Friday's is so dope"
1007,"[0, 0, 1]",say re addicted heroin welcome day od,0,I say if you're addicted to heroin then I welcome the day you OD
1008,"[1, 1, 1]",let smoke blunt chill,1,let's smoke a blunt and chill
1009,"[1, 1, 1]",need fawking blunt,1,I need a fawking blunt
1010,"[1, 1, 1]",roll nice blunt,1,I roll such a nice blunt
1011,"[1, 1, 1]",need blunt bruhh,1,I need a blunt bruhh
1012,"[1, 0, 1]",don smoke cigarettes anymore don smoke weed don drink don partake in coke any longer,1,I don't smoke cigarettes anymore I don't smoke weed I don't drink I don't partake in coke any longer
1013,"[1, 0, 0]",think left pot on in crib,0,I think I left a pot on in the crib
1014,"[1, 1, 1]",really need blunt rn,1,Really need a blunt rn
1015,"[1, 1, 1]",itss lamaya nah buy weed,1,@itss_lamaya nah to buy weed
1016,"[0, 0, 0]",boarding tonight dope,0,Boarding tonight was so dope
1017,"[1, 0, 1]",want need weed,1,I want/need weed.
1018,"[0, 1, 1]",really need blunt rn oomg,1,I really need a blunt RN oomgggg
1019,"[0, 1, 0]",pretty dope got first tattoo today,0,Pretty dope I got my first tattoo today
1020,"[1, 0, 1]",lowkey want go gym high key just wanna smoke blunt chill,1,Lowkey want to go to the gym... High key just wanna smoke a blunt and chill
1021,"[0, 1, 0]",split looks hella dope,0,Split looks hella dope
1022,"[1, 0, 0]",waitforhightide need weed bathbombs,0,@waitforhightide you need some of those weed bathbombs
1023,"[0, 0, 0]",will never dope mom,0,I will never be as dope as my mom
1024,"[1, 1, 1]",after work blunt,1,"After work blunt"""""""""""
1025,"[0, 1, 1]",ohthatslala molly coked up,1,@OhhhThatsLaLa Molly and Coked Up
1026,"[1, 1, 0]",kind dope smoking URL,1,what kind of dope you smoking. https://t.co/TjfQcHrK1F
1027,"[1, 1, 1]",in between rolling blunt going run staying in bed trying get sleep,1,"In between rolling a blunt and going for a run "" staying in bed and trying to get some sleep.."
1028,"[1, 1, 0]",just want sushi fat blunt,1,"I just want some sushi "" a fat blunt."
1029,"[1, 0, 1]",wanna smoke dope,1,she wanna smoke my dope
1030,"[1, 1, 1]",high off much dope,1,i'm so high off so much dope
1031,"[1, 1, 1]",roll blunt yes,1,"about to roll a blunt, yeeeeeessss"
1032,"[1, 1, 1]",also smoke bowl,1,Also smoke a bowl
1033,"[0, 0, 1]",also life dope carry on,0,"Also, my life is dope. Carry on.  "
1034,"[1, 1, 1]",rt never smoked weed,1,rt if you have never smoked weed
1035,"[1, 1, 1]",ll take robotusin weed 200 URL,1,"I'll take ""robotusin"" and Weed for $200 https://t.co/ToysXHaMX6"
1036,"[1, 0, 0]",next lonestar blow up,0,I'm the next Lonestar to blow up
1037,"[1, 0, 1]",lol trying smoke blunt,1,Lol who trying to smoke this blunt with me
1038,"[0, 1, 0]",edm dope af,0,EDM IS DOPE AF
1039,"[1, 1, 1]",got weed on dad,1,"""You got your weed on you?"" -Dad"
1040,"[0, 0, 1]",skiing dope,0,Skiing is dope
1041,"[1, 1, 1]",need smoke weed,1,i need to smoke some weed
1042,"[1, 1, 1]",dexterjmanning just smoke weed mate,1,@DexterJManning just smoke weed mate
1043,"[1, 1, 1]",wendy trip roll blunt,1,Wendy's trip and roll a blunt
1044,"[0, 0, 1]",tonight moon gorgeous hooked can stop start,0,Tonight's moon is gorgeous! I'm hooked and I can't stop start
1045,"[1, 1, 1]",still want bowl bath glass wine,1,Still want a bowl a bath and a glass of wine
1046,"[0, 1, 1]",guess acid first one tonight,1,I guess I'm doing acid for the first one tonight
1047,"[0, 0, 0]",monairthith actually pretty dope lol,0,@monairthith that actually is pretty dope lol
1048,"[1, 1, 1]",just smoked blunt w ur gf,1,just smoked a blunt w ur gf
1049,"[0, 0, 0]",drinking dope driving dope drunk driving not dope dudes,0,Drinking is dope. Driving is dope. But drunk driving is not dope my dudes
1050,"[0, 0, 0]",dope all life,0,I been dope all my life.
1051,"[1, 1, 1]",need blunt in snow,1,i need a blunt in the snow
1052,"[1, 1, 1]",good place go smoke weed,1,What's a good place to go smoke weed?
1053,"[0, 0, 0]",rain drop drop top jessica bought crock pot,0,rain drop drop top Jessica bought a crock pot
1054,"[1, 1, 1]",got nyquil blunt,1,Got A NyQuil Blunt
1055,"[0, 1, 0]",bouta take blunt face,0,Bouta take this blunt to the face
1056,"[0, 0, 0]",dope sunday,0,'Twas a dope Sunday
1057,"[1, 1, 1]",down light blunt w rn,1,Who's down to light this blunt w me rn?
1058,"[1, 1, 0]",all 20 spent on weed,1,All them $20 I spent on weed
1059,"[1, 0, 0]",needs blow up URL,0,This needs to blow up https://t.co/aLOdr03h2X
1060,"[0, 0, 0]",gym house dope,0,Having a gym at my house is dope
1061,"[1, 1, 1]",sure heroin feels great,1,I'm sure heroin feels great
1062,"[1, 0, 0]",still smacked sheesh,0,I'm still smacked sheesh
1063,"[0, 0, 1]",today while lifting power went off still went on wod pitch black thrusters jump rope hard in dark,0,"So today while lifting the power went off. And we still went on with the WOD. It was pitch black. Thrusters, jump rope is hard in the dark  "
1064,"[1, 1, 1]",bored smoke weed,1,You bored? Smoke some weed.
1065,"[0, 0, 0]",def looks dope URL,0,Def looks dope https://t.co/AhzGk2iT6D
1066,"[1, 1, 1]",currently smokin blunt jamming out pnd watching rain drop in bed best way end day,1,"Currently smokin a blunt jamming out to PND "" watching the rain drop in my bed best way to end my day"
1067,"[1, 1, 0]",jeff went projects once buy weed,1,jeff went to the projects once to buy weed
1068,"[1, 1, 1]",just weed relieving got tree hours ago still haven even smoked yet,1,Just having weed is relieving. I got tree hours ago and I still haven't even smoked yet.
1069,"[1, 0, 1]",well slipped fell on black ice today spilt starbucks day gone down hill since,1,well i slipped and fell on black ice today and spilt my starbucks. and my day has gone down hill since then
1070,"[0, 0, 0]",just made dope ass vid jinsang,0,just made a dope ass vid for jinsang!!
1071,"[0, 1, 1]",stressed smoke blunt sad smoke blunt depressed smoke blunt guarantee ll go away bit,1,stressed? smoke a blunt. sad? smoke a blunt. depressed? smoke a blunt. guarantee it'll go away for a bit.
1072,"[1, 1, 1]",need beer blunt,1,I need a beer and a blunt
1073,"[0, 0, 0]",apartment next year dope,0,Apartment next year is dope
1074,"[1, 0, 1]",sleep smoking dope demons,1,Sleep smoking dope with the demons
1075,"[0, 0, 0]",where hell might dope URL,0,Where's hell? Might be dope https://t.co/HpsTjFGQT9
1076,"[0, 0, 1]",get smacked,0,about to get smacked
1077,"[1, 1, 1]",h town in cup og in blunt,1,H town in my cup   Og in my blunt
1078,"[1, 0, 0]",again say used heroin when younger maybe,0,"then again, he did say he used heroin when he was younger so maybe that's it."
1079,"[0, 0, 1]",sloanrachel can shameless weed wine night soon,0,"@sloanrachel can we have a shameless, weed, wine night soon???"
1080,"[1, 1, 1]",just got weed,1,Just got some weed
1081,"[1, 1, 1]",omw hoboken wish blunt,1,omw to hoboken wish i had a blunt
1082,"[1, 1, 1]",need bottle n blunt,1,Need a bottle n a blunt
1083,"[1, 1, 0]",need blunt wtf,1,I need a blunt wtf
1084,"[0, 1, 0]",dope money,0,Dope money
1085,"[0, 1, 1]",just enough getchu thru blunt too,1,"Just enough to getchu thru a blunt, too..."
1086,"[0, 0, 0]",done got munchies,0,Done Got the Munchies.
1087,"[0, 1, 1]",hmu dabs not boof,1,HMU for dabs not that boof
1088,"[1, 0, 1]",don need drink need blunt,1,I don't need a drink I need a blunt
1089,"[1, 1, 1]",now time smoke weed,1,now it's time to smoke weed
1090,"[1, 0, 0]",dope ass,0,I'm a dope ass being!
1091,"[1, 1, 1]",went watching vsauce wanting go on acid trip,1,Went from watching Vsauce to wanting to go on a acid trip
1092,"[1, 0, 1]",don need drink need blunt woptober,1,I don't need a drink I need a blunt.... WOPTOBER
1093,"[1, 0, 1]",up in dtla n got weed,1,WHOS UP IN DTLA N GOT WEED
1094,"[1, 1, 1]",got weed on campus,1,who got some weed on campus
1095,"[1, 1, 1]",just plot while smoke pot,1,"I just plot while I smoke pot,"
1096,"[1, 0, 0]",january lit too amped go sleep,0,January is #lit too amped to go to sleep
1097,"[1, 1, 1]",jaibrooks1 all know u smoke weed,1,@JaiBrooks1 we all know u smoke weed ( :
1098,"[1, 1, 1]",need blunt adventures,1,"need a blunt "" some adventures"
1099,"[0, 0, 0]",pathogenomenick re trying blunt,0,@pathogenomenick What if you're trying to be blunt?
1100,"[1, 1, 1]",need freakin blunt,1,I need a freakin blunt
1101,"[1, 1, 1]",smoke pot drink weak alcohol don guzzle down hard liquor straight watch multiple drug abuse easy go overboard way,1,"Smoke some pot, drink weak alcohol, don't guzzle down hard liquor straight and watch the multiple drug abuse, easy to go overboard that way."
1102,"[0, 1, 0]",dope people dope,0,Dope people are dope.
1103,"[1, 0, 1]",want blunt lol,1,I want a blunt lol
1104,"[0, 0, 0]",re dope ugh URL,0,You're so dope ughhh https://t.co/ZAVdGFzRdl
1105,"[0, 0, 1]",seen dope still alive,0,Seen it with my   dope still alive
1106,"[1, 1, 1]",need blunt massages,1,I need a blunt and a massages
1107,"[1, 1, 1]",smoking blunt rn,1,Smoking a blunt rn
1108,"[0, 0, 0]",tomorrow gonna dope,0,Tomorrow's gonna be dope
1109,"[1, 1, 1]",wait till thc tolerance builds up cause bruh stay up after smoke blunt save life spend on food ridiculous,1,wait till my THC tolerance builds up cause bruh I cant stay up after I smoke a blunt to save my life and the $ I spend on food is ridiculous
1110,"[0, 0, 1]",need more weed lol,0,I need more weed lol
1111,"[0, 1, 0]",just got rickrolld dope,0,Just got rickrolld. It was dope
1112,"[0, 0, 1]",not gone lie beauty beast look dope hell,0,I'm not gone lie the beauty and the beast look dope as hell.
1113,"[0, 1, 0]",buy school books dope money,0,Had to buy school books with dope money
1114,"[0, 1, 0]",cumdenier pretty dope tbh,0,@cumdenier pretty dope tbh
1115,"[1, 0, 0]",suck dope nap,0,That was suck a dope nap
1116,"[1, 1, 1]",need blunt bowl,1,I need a blunt and a bowl.
1117,"[1, 1, 1]",up come smoke blunt w,1,Who's up.. come smoke a blunt w me
1118,"[1, 1, 1]",excited trip acid again tonight,1,im so excited to trip acid again tonight
1119,"[0, 0, 0]",dope night boys,0,Dope night with the boys
1120,"[1, 1, 1]",smoke too much weed say pack bowl let take away,1,"""i smoke too much weed"" i say as i pack a bowl and let it take me awayyyyyyyy"
1121,"[1, 0, 0]",kscott6abc black horse pike near kerbeckcorvette dealer still flooded,0,@KScott6abc is the Black Horse Pike near the @KerbeckCorvette dealer still flooded?
1122,"[1, 0, 0]",prattprattpratt passengers dope movie,0,@prattprattpratt Passengers was a dope movie!
1123,"[0, 0, 1]",living pretty dope,0,living by yourself is pretty dope.
1124,"[0, 1, 1]",pull up smoking jumping jacks smell will lay back drink jus like lahey ricky when smoke sack,1,"pull up smoking jumping jacks, the smell of that will lay you back. she drink jus like Lahey, but im Ricky when I smoke a sack"
1125,"[1, 1, 0]",really fucking need blunt,1,I really fucking need a blunt
1126,"[1, 1, 1]",need blunt in life,1,I need a blunt in my life
1127,"[0, 0, 0]",spent weed money on food,0,i spent my weed money on food ...
1128,"[1, 1, 1]",time get into blunt,1,Time to get into a blunt!
1129,"[1, 1, 1]",need blunt breakfast,1,"i need a blunt "" breakfast"
1130,"[1, 1, 1]",just rolled NUMBER gram blunt,1,Just rolled a 2 gram blunt
1131,"[0, 0, 0]",want dinner sirius black molly weasley,0,I want to have dinner with Sirius Black and Molly Weasley
1132,"[1, 1, 1]",need acid in life hmu,1,Need acid in my life hmu
1133,"[1, 0, 0]",graffiti sell dope,0,Do graffiti and sell dope
1134,"[0, 0, 0]",jayteesays actually dope lol,0,@JayTeeSays That's actually dope. Lol
1135,"[0, 1, 1]",got dope in sinus,1,got my dope in your sinus
1136,"[0, 0, 0]",drunk dming dope,0,drunk DMing. DOPE
1137,"[0, 1, 1]",need blunt walk,1,NEED A BLUNT WALK
1138,"[1, 1, 1]",all think food weed,1,All I think about is food and weed
1139,"[0, 0, 0]",strong mentally physically pretty damn dope,0,"being strong mentally "" physically is pretty damn dope"
1140,"[0, 1, 1]",alice through looking glass on acid,1,Alice through the looking glass on acid
1141,"[0, 0, 0]",today asked heroin because went lancaster,0,today I was asked if I do heroin because I went to Lancaster????
1142,"[0, 1, 1]",want blunt cut,1,I want a blunt cut
1143,"[0, 0, 0]",re7 dope af,0,RE7 is dope af
1144,"[1, 1, 1]",low key wish father still smoked d very interesting dope conversation,1,"Low key wish my father still smoked, that'd be a very interesting and dope conversation."
1145,"[0, 0, 0]",dope haha URL,0,That's dope haha https://t.co/hzt45pxYAa
1146,"[0, 1, 0]",really wish weed used,0,I really wish weed was what is used to be
1147,"[0, 0, 1]",acid rain acid rain,0,acid rain acid rain
1148,"[1, 1, 1]",wings weed home,1,wings weed home
1149,"[1, 0, 1]",prolly sade safest way weed,1,@prolly_sade the safest way is weed
1150,"[1, 1, 1]",enough need blunt,1,that's enough I need a blunt.
1151,"[0, 0, 0]",girl on train dope movie,0,The Girl on a Train is a dope movie
1152,"[1, 1, 1]",nick rillos need blunt,1,nick rillos. i need a blunt
1153,"[1, 1, 1]",hit blunt facin,1,you cant hit the blunt im facin
1154,"[0, 0, 1]",throwback dope tour jakemiller URL,0,throwback to a dope tour @jakemiller https://t.co/Op6GrEN4Gf
1155,"[1, 1, 1]",headache hell need blunt rn,1,Headache from hell. Need a blunt RN.
1156,"[1, 1, 1]",haven smoked in like year all want right now fattie blunt,1,haven't smoked in like a year but all I want right now is a fattie blunt
1157,"[0, 0, 1]",birthday dope fuck,0,my birthday was dope as fuck
1158,"[0, 0, 0]",wish camera good enough see how dope make up,0,Wish my camera was good enough to see how dope my make-up is
1159,"[0, 1, 1]",dope ass catch,1,That was a dope ass catch.
1160,"[0, 1, 0]",assassination classroom friggin dope,0,Assassination classroom is friggin dope
1161,"[1, 1, 1]",right now need fucking blunt,1,Right now I need a fucking blunt
1162,"[1, 1, 1]",summer out w weed,1,This summer I'm a be out w/the weed
1163,"[1, 0, 1]",life dope dope shit,1,My life is dope and I do dope shit
1164,"[0, 0, 0]",someone called ex junkie ve never even smoked weed ve literally drank less half beer in entire life,0,Someone called me an ex junkie but I've never even smoked weed and I've literally drank less than half a beer in my entire life
1165,"[1, 0, 1]",someone drive around while smoke blunt finish bottle can hit either,1,Someone drive me around while I smoke this blunt and finish this bottle you can hit either
1166,"[1, 1, 1]",walkerrian idk heroin pretty bad,1,@walkerrian idk heroin is pretty bad.
1167,"[1, 1, 0]",livinlifehi smoked weed when,1,@livinlifehi I smoked weed when I was with you ?
1168,"[1, 1, 1]",magpepper ll smoke weed please,1,"@magpepper I'll smoke my weed with you, please!"
1169,"[1, 1, 1]",wanna smoke bowl,1,Wanna smoke a bowl?
1170,"[1, 0, 1]",ok neighbors think selling dope,1,"Ok, the neighbors think I'm selling dope "
1171,"[1, 0, 0]",graves440 same gonna dope tho,0,@Graves440 same.. it's gonna be dope tho
1172,"[1, 1, 1]",all need damn weed,1,All i need is some damn weed
1173,"[1, 0, 0]",dream smoked bologna blunt wtf,0,i had a dream that i smoked a bologna blunt wtf
1174,"[1, 1, 1]",making weed brownies tonight,1,Making weed brownies for tonight
1175,"[1, 1, 1]",especially shmoking down street blunt d,1,Especially if I'm shmoking down the street with a blunt :d
1176,"[1, 1, 1]",need weed prob,1,I need weed that's the prob
1177,"[1, 1, 1]",shibainarritu just smoke pot,1,@ShibaInarritu just smoke some pot
1178,"[1, 1, 1]",hate buying weed love smoking,1,i hate buying weed but i love smoking it sooo
1179,"[0, 0, 0]",in order dope u gotta know dopeness,0,In order to be dope... U gotta know what dopeness is
1180,"[1, 1, 1]",eating good tonight going home finish off blunt,1,Eating good tonight and going home to finish it off with a blunt
1181,"[1, 0, 0]",lxcase looks dope hell,0,@lxcase it's looks dope as hell.
1182,"[1, 0, 1]",weed coffee love,1,Weed and coffee is love
1183,"[1, 1, 1]",all money spent on weed,1,"if i had all the money i spent on weed"""""
1184,"[1, 1, 0]",mollylambert molly r u on acid right now,1,@mollylambert molly r u on acid right now?
1185,"[1, 1, 1]",need nice blunt,1,I need a nice blunt
1186,"[1, 0, 0]",let dope u,0,let me dope u
1187,"[0, 1, 1]",NUMBER mg oxy can even move,1,30mg oxy I can't even move
1188,"[1, 1, 1]",up wanna smoke weed,1,"Who up "" wanna smoke weed"
1189,"[0, 0, 0]",inimitablelove picture dope lol,0,@InimitableLove this picture dope lol
1190,"[1, 1, 1]",looking forward blunt home,1,I'm so looking forward to this blunt I have at home
1191,"[1, 0, 1]",aztecarias looks dope URL,1,@AztecArias looks dope https://t.co/vE8D6l8VjH
1192,"[0, 1, 0]",got pulled over dope,0,Got pulled over. Dope
1193,"[1, 1, 1]",time smoke fat blunt,1,Time to smoke a fat blunt
1194,"[0, 0, 0]",dope tho,0,They are dope tho.
1195,"[1, 0, 1]",finna hit blunt eat,1,Finna hit the blunt and eat
1196,"[0, 0, 1]",just got dope ass poster kurt cobain shop just want take home,0,Just got this dope ass poster of Kurt Cobain for the shop that I just want to take home for myself
1197,"[0, 0, 0]",crawfish pot chill,0,Crawfish Pot and chill???
1198,"[0, 0, 1]",should thought dope brown,0,Should of thought about that dope brown
1199,"[1, 1, 1]",meghfresh come over smoke blunt,1,@meghfresh come over and smoke a blunt with me
1200,"[0, 0, 0]",colorsworldinc hope lot dope people,0,@colorsworldinc I hope a lot of dope people
1201,"[0, 0, 0]",extremely dope friend URL,0,Extremely dope my friend! https://t.co/2ZdMqRdcby
1202,"[0, 1, 0]",ok now dope af URL,0,Ok. Now this is dope af. https://t.co/FI9OI2CdtM
1203,"[1, 0, 0]",needa get on plane k o,0,I needa get on the plane and K.O.
1204,"[1, 1, 1]",rolled blunt back,1,rolled a blunt then we back at it
1205,"[0, 1, 0]",random dope,0,Random but dope
1206,"[1, 1, 1]",wide awake finna smoke blunt,1,Im wide awake finna smoke this blunt
1207,"[1, 0, 0]",hella blunt,0,I'm hella blunt
1208,"[1, 0, 0]",aileyhoran d dope collab lol,0,@aileyhoran_ that'd be a dope collab LOL
1209,"[1, 1, 1]",wake bake friend,1,"Wake "" Bake my friend"
1210,"[0, 0, 0]",dope in korea,0,That was dope what they did in Korea
1211,"[0, 0, 0]",bought headlamp running whatever else hella dope safe surprised haven hit car actually,0,I bought a headlamp for running (or whatever else) it's hella dope. and safe. I'm surprised I haven't been hit by a car actually
1212,"[1, 1, 1]",should stop smokin dope,1,I should stop smokin dope
1213,"[1, 1, 1]",send blunt house,1,Send a blunt to my house.
1214,"[0, 0, 0]",good father way better dope boy,0,"""A good Father is way better then a Dope Boy"""
1215,"[1, 1, 0]",much dope URL,1,So much dope https://t.co/Ri4wPXCyCk
1216,"[0, 1, 0]",dope know,0,I'm dope and you know it
1217,"[0, 0, 1]",makes dope,0,What makes you dope......
1218,"[0, 1, 1]",drink beer smoke weed,1,Drink my beer and smoke my weed.
1219,"[1, 1, 1]",need blunt boyfriend,1,"need a blunt "" my boyfriend."
1220,"[1, 0, 0]",seriously smacked asf,0,seriously smacked asf
1221,"[1, 0, 0]",dope game URL,0,This be a dope game https://t.co/agMHU8nbAf
1222,"[1, 0, 1]",need drink weed,1,"I need a drink "" some weed."
1223,"[0, 0, 0]",summer gonna dope,0,This summer gonna be so dope
1224,"[1, 1, 1]",need blunt badly,1,Need a blunt badly
1225,"[1, 1, 1]",brother want smoke bowl URL,1,"brother : ""want to smoke a bowl?"" me : https://t.co/J3oa6EsaRA"
1226,"[1, 1, 1]",hate how weed can even smoke,1,I hate how I have weed and I can't even smoke
1227,"[0, 0, 0]",tonight dope ass night,0,Tonight was a dope ass night
1228,"[1, 0, 0]",dope session URL,0,Dope session    https://t.co/chzmGMFGLq
1229,"[0, 0, 1]",dope ppv,0,that was a dope ppv...
1230,"[1, 1, 1]",gonna give bday blunt,1,who gonna give me a bday blunt
1231,"[0, 0, 0]",dope good movie,0,"""Dope"" is a good movie."
1232,"[1, 1, 1]",high blunt,1,I'm high blunt
1233,"[0, 0, 0]",stock mazda3 sharp16mia dope prob safest,0,@Stock_Mazda3 @sharp16mia dope. That's prob safest
1234,"[0, 0, 0]",jhenry347 dope how go,0,@JHenry347 That's dope!! How did it go?
1235,"[1, 1, 1]",atheistfruits don smoke bake,1,@AtheistFruits Have to be. I don't smoke. But I do bake.
1236,"[1, 0, 0]",dope ass weekend,0,I had a dope ass weekend
1237,"[0, 1, 0]",black coffe orange juice everyday breakfast,0,Black coffeee and Orange juice everyday for breakfast
1238,"[0, 0, 0]",making plans summer amped,0,Making plans for this summer and I'm AMPED
1239,"[0, 0, 0]",going dope ass day,0,It's going to be a dope ass day.
1240,"[1, 1, 1]",rlly just want blunt rn,1,I rlly just want a blunt rn.
1241,"[0, 0, 0]",connerjmartin10 pretty dope school,0,@connerjmartin10 it's a pretty dope school
1242,"[0, 0, 0]",girl walkin around in acid wash bedazzled butt pattern jeans over sized black roxy skate shoes on leaveitinhighschool,0,Girl walkin around in the acid wash bedazzled butt pattern jeans with the over-sized Black roxy skate shoes on #leaveitinhighschool
1243,"[1, 1, 1]",out work smoking blunt solo,1,"Out of work, smoking this blunt solo."
1244,"[1, 1, 1]",bellathorne smoking weed cool,1,@bellathorne smoking weed is cool
1245,"[1, 1, 0]",dope game got hold on,1,Dope game got a hold on meeee
1246,"[0, 0, 1]",dope frick,0,Dope as frick
1247,"[0, 1, 1]",just smoked NUMBER gram blunt,1,I just smoked a 4 gram blunt by myself
1248,"[0, 0, 1]",just got smacked,0,We just got smacked...
1249,"[0, 1, 0]",minimightymouse tomorrow going dope,0,@minimightymouse tomorrow is going to be dope.
1250,"[0, 0, 0]",soo blunt,0,Soo blunt
1251,"[1, 1, 1]",need aromatherapy fat blunt asap,1,i need some aromatherapy and a fat blunt asap.
1252,"[1, 1, 1]",need go pot shop,1,I need to go to the pot shopppp.
1253,"[0, 0, 1]",how almost die off weed URL,0,How you almost die off weed ? https://t.co/6K7eJQ62oG
1254,"[0, 0, 0]",sell heroin re piece shit,0,"If you sell heroin, you're a piece of shit"
1255,"[1, 0, 0]",dope game hunterfwm,0,Dope game @hunterfwm
1256,"[0, 1, 1]",just sponsor weed,1,Just sponsor me with weed
1257,"[1, 1, 1]",when die bury in dope,1,"""when i die bury me in my dope"""
1258,"[1, 1, 0]",hope obama smokes blunt tonight,1,i hope Obama smokes a blunt tonight
1259,"[1, 0, 1]",dope ass workout,1,Dope ass workout
1260,"[1, 0, 0]",dinner dope cousin dope,0,Dinner was dope. My cousin is dope.
1261,"[0, 0, 0]",dope single thing,0,BUT DOPE WONT DO A SINGLE THING FOR YOU
1262,"[0, 1, 0]",nataliereed84 opium emporium choice 2,0,"@nataliereed84 ""Opium Emporium"" for choice #2?"
1263,"[1, 1, 0]",need got damn weed,1,I need some got damn weed !
1264,"[0, 0, 0]",elijahthomasjay mvmnt watches dope cheap notsponsored,0,@elijahthomasjay MVMNT watches are dope and cheap #notsponsored
1265,"[1, 1, 1]",free college weed,1,FREE COLLEGE AND WEED.
1266,"[1, 0, 0]",all wheel drive dope,0,All wheel drive is dope
1267,"[1, 0, 0]",next tattoo going dope,0,My next tattoo is going to be so dope...
1268,"[1, 0, 1]",yvrhousing hm fentanyl melt snow,1,"@YVRHousing hmmmm, does fentanyl melt snow?"
1269,"[1, 1, 0]",need blunt omfg,1,I NEED A BLUNT OMFG
